"saat","sure"
"180144",	23
"180221",	10
"180210",	86
"180212",	82
"180252",	21
"180309",	6
"180250",	85
"180303",	70
"180337",	63
"180433",	37
"180448",	20
"180447",	84
"180504",	111
"180540",	40
"180541",	67
"180545",	70
"180701",	24
"180734",	25
"180752",	34
"180806",	12
"180854",	26
"180908",	10
"180941",	31
"180957",	24
"181013",	38
"181147",	15
"181156",	59
"181253",	29
"181322",	36
"181355",	45
"181404",	36
"181358",	101
"181400",	68
"181512",	32
"181610",	37
"181558",	95
"181719",	73
"181738",	63
"181748",	49
"181824",	26
"181859",	28
"181933",	69
"181936",	24
"182007",	25
"182053",	36
"182109",	42
"182137",	28
"182306",	17
"182310",	5
"182443",	47
"182524",	23
"182502",	65
"182512",	48
"182606",	35
"182627",	5
"182627",	26
"182730",	13
"182704",	77
"182840",	4
"182917",	5
"182933",	20
"182907",	59
"182958",	25
"183031",	37
"183044",	66
"183136",	28
"183230",	30
"183344",	26
"183502",	28
"183254",	187
"183556",	4
"183611",	40
"183635",	5
"183618",	61
"183701",	13
"183731",	84
"183750",	59
"183928",	14
"183944",	11
"183959",	15
"184016",	41
"184022",	28
"183733",	305
"184139",	75
"184204",	50
"184212",	47
"184251",	16
"184326",	13
"184410",	31
"184514",	25
"184515",	38
"184451",	69
"184519",	45
"184619",	50
"184735",	63
"184742",	21
"184802",	87
"184836",	71
"184846",	29
"184912",	49
"185037",	5
"184842",	166
"184859",	127
"185107",	42
"185203",	24
"185218",	24
"185222",	36
"185224",	19
"185030",	153
"185304",	65
"185308",	105
"185322",	57
"185336",	35
"185442",	38
"185442",	61
"185047",	316
"185519",	73
"185622",	31
"185736",	14
"185735",	42
"185748",	22
"185852",	54
"185853",	31
"185937",	43
"185958",	34
"185959",	57
"190038",	34
"190041",	64
"190126",	30
"190142",	15
"190130",	34
"190131",	38
"190136",	36
"190220",	21
"190221",	30
"190231",	80
"190317",	13
"190328",	86
"190358",	8
"190419",	40
"190424",	4
"190435",	19
"190450",	40
"190506",	101
"190514",	74
"190527",	35
"190603",	7
"190630",	5
"190635",	21
"190641",	6
"190645",	42
"190707",	4
"190731",	3
"190717",	79
"190733",	50
"190750",	31
"190808",	29
"190837",	75
"190858",	41
"190901",	58
"190924",	60
"191037",	21
"191126",	35
"191226",	15
"191235",	20
"191223",	53
"191305",	28
"191346",	14
"191357",	40
"191404",	47
"191408",	23
"191428",	84
"191441",	45
"191447",	24
"191503",	21
"191532",	62
"191103",	364
"191708",	28
"191727",	41
"191752",	49
"191756",	38
"192015",	38
"191930",	106
"192054",	104
"192139",	25
"192205",	61
"192309",	16
"192334",	37
"192343",	42
"192354",	46
"192449",	35
"192516",	79
"192559",	29
"192614",	53
"192703",	20
"192716",	34
"192736",	65
"192813",	5
"192823",	17
"192807",	145
"192900",	78
"192920",	49
"193006",	25
"193034",	4
"193050",	40
"193113",	18
"193105",	63
"193216",	46
"193226",	64
"193251",	34
"193402",	9
"193341",	88
"193506",	85
"193512",	51
"193526",	38
"193549",	16
"193540",	108
"193639",	60
"193724",	76
"193734",	28
"193808",	16
"193842",	13
"193915",	54
"194021",	49
"194112",	37
"194109",	55
"194249",	79
"194311",	98
"194418",	39
"194429",	11
"194427",	55
"194500",	25
"194416",	130
"194521",	43
"194540",	20
"194551",	25
"194649",	30
"194718",	38
"194237",	324
"194717",	72
"194747",	19
"194758",	55
"194828",	20
"194832",	20
"194848",	46
"194858",	16
"194918",	22
"194926",	39
"194940",	54
"194958",	6
"195002",	23
"195029",	19
"195021",	48
"195044",	23
"195113",	32
"195253",	6
"195223",	68
"195239",	34
"195245",	58
"195246",	33
"195253",	63
"195436",	36
"195442",	34
"195519",	27
"195545",	28
"195551",	17
"195633",	9
"195616",	103
"195651",	13
"195657",	105
"195749",	49
"195813",	10
"195824",	54
"200011",	34
"200006",	58
"200107",	24
